Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Total_Sales_Unit,Total_Revenue
1220,13,-1.4437185171338753,11,548,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,84,-0.1999658576976409,713,1,-0.32511244156976266,-0.32530932829616105
1930,13,-0.08290030119441917,9,528,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.19995134332000783,-0.3253093282961611,0.1458187969952704,0.3498110676972329,69,-0.19283884987361555,115,7,-0.31865268594511414,-0.32530932829616105
10948,17,0.08720197579801285,6,194,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
2720,16,-0.7633094091641472,10,277,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,-0.7151796074194444,-0.703967011214484,95,,815,1,-0.32511244156976266,-0.32530932829616105
1206,7,-0.2530025781868512,10,21,-0.2868264939925646,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,95,,517,7,-0.31865268594511414,-0.32530932829616105
4867,26,0.08720197579801285,0,349,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
1745,6,-0.5932071321717152,0,528,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,-0.6434297403848848,-0.7566559151600699,95,,1558,7,-0.32511244156976266,-0.32530932829616105
9521,17,0.7676110837677409,1,349,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
5570,2,0.937713360760173,0,364,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
10539,15,-1.4437185171338753,11,277,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
4172,13,-0.08290030119441917,0,138,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.19995134332000783,-0.3253093282961611,0.9350673343754257,0.45518887558840465,85,0.6517115772733862,747,5,-0.31865268594511414,-0.32530932829616105
8745,4,-0.08290030119441917,1,110,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
3997,16,0.42740652978287685,1,503,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
2622,18,1.618122468729901,8,192,-0.2868264939925646,-0.28816604982701644,-0.251295034492094,-0.19995134332000783,-0.3253093282961611,0.5763179992026278,-0.5985892033233123,66,-0.26232717615786255,599,5,-0.31865268594511414,-0.32530932829616105
8425,13,0.42740652978287685,8,463,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,0.21756866402982997,0.24443325980606123,67,-0.15007680292946357,1491,7,-0.32511244156976266,-0.32530932829616105
10604,16,-0.08290030119441917,1,413,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
8260,6,,4,491,-0.2991192155753736,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,0.4328182651335087,0.03367764402371785,77,-0.2819264476739322,1172,1,-0.32511244156976266,-0.32530932829616105
305,13,0.5975088067753089,7,448,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.19995134332000783,-0.3253093282961611,0.21756866402982997,-0.07170016386745386,72,0.6214217940212785,1050,5,-0.31865268594511414,-0.32530932829616105
7329,13,-1.4437185171338753,7,248,-0.3114119371581825,-0.2484258114683294,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,1.5808161376864618,-0.2297668757042114,89,1.159510884735191,206,7,-0.32511244156976266,-0.32530932829616105
3454,16,-0.7633094091641472,3,458,-0.32370465874099147,-0.28816604982701644,-0.1541475579806833,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.32511244156976266,-0.32530932829616105
1228,19,0.2573042527904449,5,123,-0.2868264939925646,-0.28816604982701644,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,95,,323,1,-0.32511244156976266,-0.32530932829616105
8254,7,-0.5932071321717152,6,17,-0.2868264939925646,-0.2682959306476729,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,96,,1696,8,-0.31865268594511414,-0.32530932829616105
11525,4,0.2573042527904449,9,6,-0.2868264939925646,-0.28816604982701644,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,95,,842,2,-0.32511244156976266,-0.32530932829616105
7109,2,1.4480201917374689,5,275,-0.32370465874099147,-0.22855569228898587,-0.251295034492094,-0.2535119699156533,-0.3253093282961611,,,95,,1177,8,-0.32511244156976266,-0.32530932829616105
